,cluster,Row.names,log10p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1,LINC01314,166.18824015768325,-1.2651867588762165,-1.9618175699400369,-1.1313335465233012,-1.4125043504901327,-1.2375293804833827,-1.3521165843280756,-1.4312181576684198,-1.145380210999459,-0.9137924799270466,-1.5936802191093693,-1.3271566613213355,-1.039792868185869,-1.529999832400739,-1.1459722458633521,-1.1553078069261205,-1.2008248230806684,-1.1638596843359452,-1.1545566497516944,0.5291776650613568,0.36602507968234754,0.2019157603745647,-0.2609293365976049,-0.4096753692639704,-0.3381664254183075,0.20246623738404934,0.6574112773034699,0.8129845617134217,0.5737688196105046,0.5687787417018894,0.3832216504746954,0.5686311202709132,0.2920549767149822,0.5348793024520817,0.5421376237383232,0.5591265319117374,0.8219855718628208,0.23510958608751395,0.3975347426529801,0.838505312925261,0.6233327000081813,0.5021200962252779,0.34488014863862904,0.8603226867993604,0.6877400283007762,1.4426323194945236,0.7520375401730783,1.0294920900863236,0.7041492367235803,0.9665764008949552,1.3990801570705613,1.14842827023632,1.3267478933511931,1.6973030545081886,1.6002437770571951
1,1,RP5-898J17.1,165.40810654043534,-0.9664648871577475,-1.389623484028908,-0.8813707622724626,-0.9849505916812503,-1.389623484028908,-1.389623484028908,-1.0697668459045322,-0.8256620905630795,-0.9421338509940416,-1.009382605352749,-1.005288170370191,-1.014391313612959,-1.389623484028908,-0.8445871075442868,-0.5565974945243262,-1.389623484028908,-0.9661688598764735,-0.7006413378824471,-0.883787532295399,-0.5814799545475619,-0.865149689312925,-0.378433202026781,-0.6874256325834575,-0.5759317694295334,-0.5100488786515456,-0.8555079166489916,-0.336261164703502,0.5871380620469544,0.42164477320256327,0.08016192369376836,0.9659196001021384,0.8811827201946191,1.1715276466111535,-0.1503628613500917,0.024834078669024456,0.2717880699522317,0.34641659895305293,0.23091755572223957,0.9914540312273529,1.593921185280026,1.4141175259265488,0.814093491442072,1.1675717845951394,0.9469038244129092,1.475035179125553,1.156016565794215,1.0338002414616152,0.9498342804060959,0.7622575300704155,1.0863104513972677,0.9923091488543161,1.8519578901147689,1.7549680995512649,1.5678296806235905
2,1,GAS5,120.6219263296155,-0.7944944930969642,-0.41471578321426067,0.022594809743063205,-0.4772766594898003,-0.6748383360772432,-0.43815734987005045,-1.287331325965386,-1.1842395098492842,-1.0103185855944887,-0.5150716881479952,-0.3471856626826967,-0.4988611607364496,-0.18998567456135518,-0.16560746246986502,-0.3233463712401642,-0.8453670659899808,-0.9696026103921904,-0.8627486785335942,-1.0479039687468528,-1.1372662520785428,-1.200712436925009,-1.0531679336248996,-0.9846799463154119,-0.8609861696666106,-1.1022116243465485,-0.42895842289491376,-0.5129091059814829,-0.4136431744048157,-0.23011891915080923,-0.31228239453821854,-0.28870875355048087,-0.9598252926540992,-0.3343110851138013,-0.5319173953970926,-0.6489303548452321,-0.097815624864888,0.4227634387260341,0.481544576584876,1.6159392624642601,1.1781032736176582,1.0080693543059902,0.6678006403939695,1.541745096588373,0.823784954369701,1.8873505889441982,1.2462936345556,1.1564964425075057,1.0158946983346129,0.9979302737448607,1.6069931208755406,1.2217370381365424,1.9077990937240932,2.0721643190749797,2.2704926563196786
3,2,C14orf132,74.5543647468155,-0.9706538077365884,-0.5655809820652072,-0.8259609870389208,-0.729506371022251,-0.3276850315441132,-0.0049076061956956265,-0.5010676112913156,-0.3138883171529404,-1.170608922723683,-1.2395698923424985,-1.2259938023225043,-1.2562075048592798,-1.8529308911718703,-1.5034222604045393,-1.3976818718390012,-2.573342984347739,-1.2420903268954302,-1.7764587781531527,-0.20096423012171888,-0.4743590203347862,-0.37224727851095263,-0.48603554688858935,-0.5676590493857396,-0.6461357651426725,0.35918098627050987,-0.12354092272608835,0.09468501215406469,0.7705411004589775,0.5761006405492322,1.0940362202853848,0.8627652567220986,1.2492491555855716,0.7718364876278754,0.8982864992643756,0.8087516820728297,0.5803331485964371,2.001560365671187,1.467132850351156,1.000644139529645,0.2291214274927592,0.6536834746434242,0.40728321239885856,0.39418202473008745,0.6228059149354269,0.57101599125129,1.2217065736096142,1.3079161757832238,1.5228008950666736,1.25601104225068,0.3582251150038473,0.9747624306767025,0.6586280782660343,0.2665293343936766,-0.6312754734244022
4,2,MALAT1,69.24230815125227,-1.2249467208253093,-1.7760467022339408,-2.007123560838104,-1.4117704679403107,-1.6034592403433694,-1.3914887969937475,-0.503084574921189,-0.7156665006050663,-0.8250614829861402,-0.9723968131466255,-0.4919522352518656,-0.5721830991220359,-0.2686681010792054,-0.392546224056285,-0.35820043760687437,-0.6383835119802722,-0.8283771337263376,-1.0370330561010042,-1.0946851831262316,-0.9204163855145526,-1.1154442732473753,-0.36676530635884225,-0.6194627187164641,-0.38249940623375034,-0.38253554896287356,-0.6119372143698851,-0.5524039620797045,0.3167162060869754,0.1744269829009621,0.5487151679625099,0.12038259767198373,1.0930724667967493,0.21728851776779987,0.8550449586105565,1.0120731396796403,0.1778528984219892,2.047821483553522,2.091295143904179,0.8774339383073714,0.37308719951209846,0.8170299445402149,1.7005137276972986,0.5846753336440775,1.3537610598472138,0.38961170612015733,1.5051373243313095,1.317597060159858,1.3985279847455625,1.2789401149757493,0.5436051488698573,1.188271563051819,0.32319849474185525,0.4828279349990364,0.27563055946716025
5,2,NEAT1,67.35898259332465,-1.0575523625226686,-1.6962634414448852,-1.2570490896921827,-0.5273856746211069,-0.5338678443533601,-0.37801345136735603,-0.5866497368482274,-0.5934650644199733,-0.4784289528349189,-0.841579167058625,-0.5897559117040863,-0.5196248591669782,-0.6412111078907912,-0.6828918644084825,-1.2829685147387029,-1.5093962298970105,-1.5891340750670717,-1.9617330106753328,-0.8261749831509162,-1.1366091519233295,-0.9401671209049706,-0.9589601816091885,-1.1580728505332272,-0.6574607207935655,-0.34189551681742014,-0.4616624242720222,-0.23618223322387172,0.6048399358839247,0.3855698220670565,0.8322506327551498,0.29445162613526127,1.0170538360571846,0.3665494534014763,0.638747657668976,0.8485177746302438,-0.04361206277396456,1.7677133095576225,2.0066656323162833,0.8891631151616746,0.0026030639018387314,0.35795961193655723,1.5445648217610264,0.8118409888017081,1.492474165816848,0.668082878302861,1.4952829692768081,1.5794095348010075,1.585032117227487,1.2021993285807617,0.38072442586317545,1.1056734789750675,0.4013834938644833,0.7169131644131321,0.49210076555652565
6,3,RP11-54H7.4,inf,2.2006072879909144,2.1905286545471854,2.170676319359504,2.110758504905306,2.02541641274774,2.0885054251640365,2.314192268110198,2.301176607045568,2.2812643885551407,-0.03607371001576392,-0.41691346397476614,-0.24204300457853728,-0.9004222679266876,-0.411769633202401,-0.36265628594126015,-0.4459015903377414,-0.2062251964269349,-0.4581004307113115,-0.9004222679266876,-0.6512152259888926,-0.4302050261256881,-0.3265606318384343,-0.4494036846262019,-0.9004222679266876,-0.4325759895458137,-0.42156069004296315,-0.612522099706699,-0.9004222679266876,-0.9004222679266876,-0.35247380327595645,-0.44980925301860863,-0.6196490732224035,-0.5601870395340601,-0.46529330870594754,-0.2849745150672248,-0.4289856775252976,-0.2369418925164756,-0.2567462382618331,-0.18610648873743293,-0.08653709685827643,-0.4140845912965373,-0.3102144151744624,-0.5179519347787729,-0.13247736321278591,-0.36081038165108253,-0.2994876086251356,-0.4299727186869125,-0.16348578695315102,-0.20767651832143258,-0.35544663463998594,-0.44792180049858793,-0.4792601667247696,-0.9004222679266876,-0.330371290514937
7,3,RP11-267L5.1,inf,2.0291652528861515,1.9193952027738774,2.1026400977902937,2.2527035546634364,2.1627937219319686,2.2993133022823407,2.249946181478183,2.2931468097828707,2.286739152435407,-0.2949666977240419,-0.29101684829871,-0.1536681337352573,-0.6617802440435289,0.07059247188847242,-0.08314466913955043,-0.31355652208305274,-0.37151930435492814,-0.18584245856895656,-0.3774330387413402,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.17648476983570432,-0.6617802440435289,-0.6617802440435289,-0.29463423711529546,-0.22609526983830905,-0.307096605157146,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.6617802440435289,-0.2365858102157102,-0.6617802440435289,-0.2721068429819112,-0.6617802440435289,-0.027295505281723503,-0.6617802440435289,-0.6617802440435289,-0.33863529387116276,-0.6617802440435289,-0.3764887510928022,-0.6617802440435289,-0.1990680463379164,-0.6617802440435289,-0.6617802440435289,-0.18131869088867894,-0.27352387909517756,-0.31512518497771685,-0.6617802440435289,-0.6617802440435289,0.1883361803796642
8,3,RP11-69I8.2,inf,2.1332017670992083,1.8121250887162745,2.2473994376420072,2.081948975832981,2.0378566513780516,2.086243075855579,2.3334489917759123,2.2406611076967593,2.3801861691839266,-0.3476449337004394,-0.10034145220264899,-0.35551160563601375,-0.2447668178027858,-0.09151956386533934,-0.9536440911682531,-0.9536440911682531,-0.6119586761059467,-0.6273211185861763,-0.6189201253128473,-0.6379910636016464,-0.9536440911682531,-0.527779205099437,-0.9536440911682531,-0.9536440911682531,-0.36105612471923804,-0.34710381979803273,-0.5889812027164145,-0.2406271620158004,-0.043877188898273314,-0.9536440911682531,-0.38288428714892786,-0.3440323169720658,-0.1106421928179825,-0.9536440911682531,-0.3437725163093056,-0.12107432185528212,-0.05879717844658833,-0.13834494891335652,-0.04887054790710629,-0.14149852703929192,-0.33763437148169945,-0.41889677317976665,-0.46919582809435845,-0.2162668272370758,-0.2701556781227717,-0.4089548556925808,-0.22905778834064622,-0.589668163855008,-0.26543704620389524,-0.17520045507267218,-0.25634554064088283,-0.42018768758122005,-0.9536440911682531,-0.23160062286113706
9,4,MIR17HG,172.69380432281525,1.112974920075631,1.3636005145063599,1.6124570266111906,1.2049441826878247,1.1667742249392004,1.1362008024220125,0.36064672063060993,0.38636176965780433,0.8355366645745532,1.0072773112706668,1.372321108161144,1.423743141351574,1.2049695530227442,1.0598821653779953,1.0691224272153907,0.854827859217833,0.5331336186598103,0.5324976364056144,0.8638934011204297,0.7946528265050264,0.7317469711112955,0.421472188985453,0.5293183950629925,0.4145414847079299,0.7359513451797605,1.0497642029616807,1.0339349658007733,-0.4701693600625134,-0.605882672017146,-0.543261553543378,-0.4126960046356162,-0.6437989434739814,-0.5621040776975119,-0.3118128655434126,-0.6131066372457057,-0.050146852603998114,-1.6652314549341327,-1.6138533480853907,-0.7703986496734561,-1.122788084213171,-1.1674170039639233,-1.5498169384937934,-1.109381885334282,-1.3536013881436688,-0.5429144144883852,-1.0978365928280889,-1.1425070533763138,-1.195021946877171,-1.439526894179298,-1.2766820223109578,-1.454222873753219,-0.9054347254334889,-0.8435296305776638,-0.34940355473367407
