"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","D00_1","D00_2","D00_3","D00_4","D00_5","D00_6","D00_7","D00_8","D00_9","D05_1","D05_2","D05_3","D05_4","D05_5","D05_6","D05_7","D05_8","D05_9","D09_1","D09_2","D09_3","D09_4","D09_5","D09_6","D09_7","D09_8","D09_9","D16_1","D16_2","D16_3","D16_4","D16_5","D16_6","D16_7","D16_8","D16_9","D26_1","D26_2","D26_3","D26_4","D26_5","D26_6","D26_7","D26_8","D26_9","D36_1","D36_2","D36_3","D36_4","D36_5","D36_6","D36_7","D36_8","D36_9"
"515","SNORD118:snoRNA",489.299605677624,1.73296608372748,0.355614674356591,3.31272070921557e-63,2.99081906292907e-62,119.762127861044,112.99029076118,122.171662567515,116.107431711313,101.560182026614,120.405713356417,459.588740032103,463.86285771603,423.481658214793,189.69432097771,141.087165469015,165.317850828482,193.821783796672,187.774973487518,149.278073429751,632.70498834504,499.514913691057,494.646963018781,295.333986163612,301.875088182074,334.136718582218,449.983407139615,508.382234285321,482.754273728605,608.873294070775,754.205189168508,756.599129959175,486.995399993139,497.969980193074,448.112380102615,693.564151836619,386.079003979571,618.251865380017,1239.55124584044,1121.68704660677,1102.19127365886,160.601929440691,149.313283732225,354.159792517956,337.635483534978,347.230737634888,155.912805976306,1194.98742876409,1104.49316476134,1488.16215030957,133.197899980589,149.651222791409,140.488195581839,89.6113056919359,140.463872122265,112.459051430724,1212.10106572255,1622.99518707391,1748.39676336241
"519","SNORD53:snoRNA",258.29385144132,1.02133567103688,0.429962361746955,1.269652267543e-33,5.9697861383781e-33,118.527466749075,101.596311860893,125.764946760677,151.052386886563,112.621191950305,177.808437165871,156.693877880047,188.513865375795,156.383749602195,142.022449737239,132.967040837705,171.118477173341,268.051403123057,174.288373181785,188.495194415533,167.112758221077,76.0400178019802,94.0843312347796,138.771391088926,135.922814574127,111.165944614352,150.638222132575,204.056536944973,168.402653626257,144.789184155979,129.349174923359,165.704376086119,249.527166853627,269.927652814938,246.417962443904,249.331922938734,170.920392386789,293.793286428584,283.536112265413,197.23444479808,383.454656395301,227.987354380842,240.099446989164,490.610967990243,382.734808050481,361.61307588012,266.511052580188,391.634535477308,253.137892896653,751.725743735143,266.395799961178,335.75594857047,268.332453561313,316.22451143212,395.008190650707,286.903406799642,542.617753255365,826.012184640865,948.476675549544
"522","SNORD116-12:snoRNA",42.7088076878449,1.39890723096414,0.523921428627874,3.91516094331102e-35,1.92511674475809e-34,118.527466749075,139.576241528516,177.867567561529,72.1444235876121,78.4326158225338,75.6035874563547,60.1592566860896,48.2417372024671,55.3570795052017,52.6376911613542,41.6156387354649,56.072721333637,52.2356580444931,44.6095240881949,36.6869841479897,27.7031845179325,39.5655377181035,32.675995279145,14.2329631886078,10.0098196779396,14.0554642615847,39.5908147912536,51.0141342362433,32.0766959288109,37.3037636035055,9.94993653256607,12.6922500831921,25.9730879996341,15.1252564077336,16.6617127631109,33.3613136326475,46.2490473517195,42.5357283381451,8.17106951773524,10.0629818774531,28.9036173162287,12.3539945723609,12.9036171126614,24.5305483995121,80.4474437303558,87.3213393460518,23.0413013758087,22.5943001236908,31.0452132797782,45.8680114821443,19.9398053863157,33.575594857047,28.0976391163679,21.5411792528692,27.8698158972747,28.3361389431745,51.9690242554434,34.3072153365216,62.8508640424397
"523","SNORA58:snoRNA",367.209257806179,1.16972116845984,0.424283525304151,5.26686343395163e-33,2.4342419925572e-32,118.527466749075,100.646813619202,159.901146595718,165.706722927797,140.776489937881,203.009632984656,134.309038182898,154.373559047895,129.397173343409,316.819310952302,342.060250093943,472.751047106009,463.247809499847,368.287931425795,303.616420535087,398.568396612836,116.841978573774,132.394118803432,630.994701361613,498.383653438467,479.802439111368,331.210962765854,497.82758582265,299.917106934382,285.784765233635,392.027499383103,445.639002920968,560.276612563535,554.980562037609,650.683730012016,398.579904979525,614.643136543866,632.100707164529,810.570096159335,777.533066397875,924.915754119319,308.288319101187,375.126583203799,507.475720014907,314.476370945936,294.837934027257,269.583226096962,336.404024063841,308.064039468568,438.29433194049,267.990984392083,342.471067541879,224.078671953034,177.499317043642,257.145501345521,206.32251167999,290.415135545125,403.769534345215,499.950054883043
"529","SNORD116-11:snoRNA",39.6700561456035,1.36165496573926,0.47701208310837,1.82393438285335e-26,7.02638832897571e-26,113.588822301197,84.5053435104622,64.6791154769197,66.5081404948299,65.3605131854448,71.4033881532239,62.2578354076974,31.1715840385172,46.3615540856064,35.7539034303538,33.4955141041547,51.2388660462545,30.2416967626013,23.8609082332205,45.542463080263,18.7666733831156,31.5287878691137,30.4224783633419,11.8608026571732,13.17081536571,13.4165795224217,49.2471110818033,66.8461069302498,28.8690263359298,32.8778933454624,10.9449301858227,14.8076250970575,34.321580570945,44.2122879610674,24.5541030193213,64.9667686530504,62.335672517535,73.201020860994,24.5132085532057,19.4550982964093,25.0498016740649,11.7924493645263,9.67771283449605,18.3979112996341,92.6364503561673,76.020930724798,44.5465159932302,27.6152557067332,25.0749799567439,38.2233429017869,20.7373976017683,18.2267514938255,21.0732293372759,21.5411792528692,33.0721815314327,23.9086172333035,61.1400285358157,34.3072153365216,42.852861847118
"530","SNORD22:snoRNA",263.388824364911,0.171647909849532,0.391897931643079,2.69766035732903e-31,1.190525018208e-30,113.588822301197,130.08125911161,143.731367726488,94.6895559587409,104.576821096712,112.005314750155,135.70809066397,105.389641273082,112.790049491848,439.971644990187,393.826044618546,443.747915381714,257.054422482111,292.555483555138,242.89313642807,201.071500533381,138.479382013362,156.619425648316,396.150808749584,405.13428064924,383.969728236927,304.173333152315,423.945046583953,216.517697519474,241.526062653205,369.142645358201,369.485502421815,468.443194279114,413.03584805734,404.265767568112,300.251822693827,308.326982344797,466.903808734989,369.332342201633,385.076773177205,418.138997174776,144.317118413488,164.521118186433,337.295040493292,287.660556369151,247.581679792923,245.77388134196,224.687762341148,181.495093020242,471.421229122039,156.328074228715,199.534963721879,138.380872648112,141.310135898822,207.723027821021,158.505277213383,217.047101302146,211.121325147825,225.691739061488
"532","SNORA53:snoRNA",216.287170659321,1.49860701387944,0.477122907390393,7.17264638803296e-16,1.99430075846615e-15,113.588822301197,113.93978900287,179.66420965811,152.179643505119,173.959519708953,109.205181881401,125.215197055931,181.834240224684,184.062289354796,136.06346583218,159.357445889463,178.852645633153,476.994035301029,379.699670146031,341.568473101973,330.650911988227,87.7860368120421,130.70398111658,265.681979520679,187.025578193082,160.360069529898,367.904888669942,404.594857735723,357.655159606242,153.008657492344,265.663305419514,262.306501719304,256.948049139237,235.023214950937,222.740791675272,317.810408816273,239.958825390081,328.415390889865,397.931085513706,336.77446016543,400.796826785038,125.224581347113,109.219901989313,251.438121094999,129.203470233602,143.823382452321,103.685856191139,209.62489559202,152.837973069677,364.395868997035,113.258094594273,125.668655036376,75.1611846362841,78.4098924804439,102.189324956674,70.8403473579363,186.477087034238,285.013788949564,337.109179863995
"533","SNORD7:snoRNA",517.327046550021,2.11239125542185,0.471934829227522,1.11173349886413e-45,7.05528183021844e-45,113.588822301197,188.950150096427,235.360114652124,160.070439835014,127.704387300792,142.806776306448,81.8445701427033,118.748891575304,112.790049491848,330.723606730773,327.85003198915,443.747915381714,354.652625670506,328.865561301344,299.821215278398,465.592230123963,296.123321358931,341.971191973121,530.177878775641,583.20370439364,453.608164805687,269.410666506336,299.048373109012,295.105602545061,269.978085740624,648.735861923307,491.472128221384,1113.13234284146,1280.99286960882,1044.42631057185,630.353241795813,400.15480099966,657.819984764338,1332.70143834262,1426.93083022285,2425.97694674213,397.012461939052,377.891644013655,913.762927881827,288.879457031732,337.984948762953,287.248223818416,699.168064938655,407.169912630937,1322.52766440183,295.906711932925,447.994365664027,309.776471257956,250.739326503398,309.540755232398,215.177555099732,531.918248261597,950.045963165213,968.474677744866
"544","SNORD14A:snoRNA",83.9725919271304,1.29436252140028,0.342881733119534,6.54073491848946e-24,2.33871681500651e-23,108.650177853319,86.4043399938434,95.2220311187984,101.45309567008,105.582367453411,107.805115447024,150.398141715224,142.498669890364,137.008771775374,65.5488229556486,71.0510905239645,87.9761662303616,81.1027322269762,87.1441865908923,72.1088998770831,117.961946979584,125.49693994961,86.7604012584195,48.0362507615514,49.5222657750697,44.0830470022428,81.1128888406172,86.19629577848,97.8339225828733,88.5174051608604,70.6445493812191,80.3842505268834,80.7020948560059,77.9532445629345,67.5237833031337,142.224547591813,81.7736779262287,141.456026798948,95.6015133575023,104.655011525512,117.541377085997,37.6235289249172,43.3192860210775,52.1274153489633,87.7608477058427,81.1574800980952,61.44347033549,89.1219615990027,68.6576832148941,132.507588726195,26.3205431099367,36.453502987651,25.9903161826403,24.9877679333283,34.9301692579176,34.534669336994,140.622065632376,73.8924638017388,97.133153520134
"545","SNORD68:snoRNA",192.081769469864,1.17020642658292,0.358344429050539,1.35738670785293e-52,1.02010807158033e-51,108.650177853319,112.040792519489,129.358230953839,122.870971422652,121.671109160597,119.00564692204,116.121355928964,111.327085851847,128.013246355779,101.302726386002,100.486542312464,106.344816322415,130.589145111233,142.128018606574,118.916431376242,99.1952735964681,60.584729630846,69.2956451609454,78.8743376702016,88.5078792575713,81.7772466128563,148.706962874465,177.669915788296,139.533627290328,94.8400769580647,94.5243970593776,95.8970006285627,230.974961139603,222.22492106747,198.186688655951,244.064347102,229.904684661446,270.052414797991,192.020133666778,173.083288292193,198.471505571437,139.824756750812,147.009066390678,400.154570767042,264.501443780109,250.663609416902,188.938671281632,343.935457438405,210.74923630311,468.87300626192,232.896926912168,284.912904929799,247.961665201947,205.93367365743,254.544318528442,237.315163649087,531.918248261597,456.549865632172,548.51663164311
