,cluster,Row.names,log10p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,1,tRNA-Lys-TTT-7,inf,1.442081413160749,1.7070847673563951,1.8265045672891673,1.2084613969484566,1.2361710413733231,1.2452972457369256,1.399251262912139,1.684785546465723,1.63757404910171,1.212961090235615,1.4624503206946429,1.4527481542823155,1.353386387337084,1.3406317651244468,1.1129738705805536,1.1577608048286112,0.7539095361185559,0.8757676884672679,-0.48447315773559135,-0.6095139645580872,-0.4142828702983076,-0.2681145258662718,-0.5021619405745451,-0.505779637082118,-0.1346961247071246,0.17730059774915324,-0.13997350170693543,-0.6282319092140334,-0.3859475953868801,-0.49658578823126287,-0.6548421020508806,-0.7194085423380662,-0.5129103350002123,-0.4931951454362794,-0.5160874783603685,-0.19404042615766634,-1.030593375600706,-1.1270136991430173,-0.672708617928791,-1.089729704452601,-1.144019816040388,-1.11476933498881,-1.2586336780858463,-1.2421651877485502,-0.6857050159580268,-0.7079574636506684,-0.6453457394465612,-0.8259572162381319,-1.0321558844784506,-0.8862300887794876,-1.0798479958667235,-1.059272369702485,-0.6351187835198012,-0.3896324894292015
1,1,tRNA-Lys-TTT-13,243.14896733108375,1.7898746505279206,2.301051058937393,2.2727670151865067,1.4963827691415783,1.5784712763973552,1.1338303397681992,0.9286998662545559,0.8461699834290668,1.2779191896964859,1.2211617685710292,1.2493171529960454,1.0903604073953608,1.4711175852421265,1.382330398352047,1.1836809453419357,0.43602860778403607,0.4912161068316796,0.5796535483534645,-0.24125967432217513,-0.40093991858661004,-0.38898715677546397,0.2914366558194347,0.2294259692112887,0.40264228763274024,-0.5862204384761159,-0.7272131382251286,-0.6035707762115974,-0.6522539522385953,-0.9794769541414459,-0.5166186219702198,-0.28101455542760395,-0.6881953607488221,-0.21951750582558305,-0.7892109123266828,-0.6878916178007375,-1.4145534058073812,-1.1108585618189144,-1.139212667198493,-0.4508399878849949,-0.22704010417240383,-0.4485915671981401,-0.7176924755596941,-0.7819896688186561,-0.7271981997589925,-1.4145534058073812,-1.0532908733469297,-0.8590916155430213,-0.7468302991210903,-0.6784584824651051,-0.5516040194166734,-0.6688522359903581,-0.7193380699005539,-0.7666179541773789,-1.4145534058073812
2,1,tRNA-Ala-AGC-1,229.6488872169309,1.4435245731767055,1.6522396066431762,2.1154794724735027,1.2827446686673891,1.5177928529473133,1.245167613246662,1.372854067640785,1.087160132594162,1.6199851951222575,0.9015454833032891,1.0174481014126295,1.0429109699349448,0.8352952217777455,0.8040108053705356,0.698092301925924,0.22665667874283674,0.9102820419440362,0.8091953797112079,0.07513579822381433,0.12051497047396581,0.15077899980295753,-0.12182582975968739,-0.008275862113845895,-0.2764896463552933,1.2431656175881751,0.8944322016365651,0.8628857684606916,-0.7321645992413001,-0.5920224355262793,-0.71039229384818,-0.2430131658279665,-0.6781270650471732,-0.38574712990489496,-0.726225501505911,-1.001426223679223,-0.676281039740806,-1.7586908422644751,-1.7857496457918947,-1.2826763726963293,-0.5104369183974452,-0.5688292247123871,-0.8141284382657157,-0.9970130217325879,-1.122900640245977,-0.7183048724759068,-1.196187856154142,-0.9577218302791881,-1.1777998709345412,-1.1628429161581455,-0.8198708737236292,-0.7086621342034475,-0.47689162838623045,-0.9946969335091606,-0.7239037103393963
3,2,tRNA-Ala-AGC-20,inf,1.9236592617905433,2.1460681680862663,2.457162862136399,1.8001615957205592,1.8877160526788326,1.829571213331138,1.531891685181805,1.5136977338622313,1.780851324840889,0.8266308741593299,0.8978460174906869,0.8249424142973766,0.6725382373447861,0.7265978523296114,0.5801104038878557,0.06586127133286585,0.3852453333820899,0.44793904529360085,-0.5437523695211036,-0.39238046736409427,-0.2440321863877396,-0.4152281916095394,-0.548998420265612,-0.591078300806547,0.14576875067280076,0.2742261132866591,0.14515666244545164,-0.5241476583967193,-0.5225358896164719,-0.5055757469777679,-0.4628251861836814,-0.5533239769612099,-0.4468327481361765,-0.5826452509529423,-0.758148443826782,-0.5061563072401247,-1.310262388971709,-1.2330375607141344,-0.8157199169865618,-0.8948395329490432,-0.855539711316029,-0.8150299249952636,-1.0089109330055837,-0.9015797002949264,-0.6123163302394463,-0.9383882243578602,-0.8004233349281847,-0.8467521042900862,-0.8390567743190589,-0.8573622765238738,-0.9052400452057742,-0.6124410140188151,-0.5968058006803336,-0.42227615550860387
4,2,tRNA-Thr-AGT-3,inf,1.8112737521065028,2.029634866778276,2.248967490749303,2.075132647584787,1.776420134908111,1.9058497238009033,2.1037778250901806,2.3563287252280762,2.3536131020792643,0.06311206513628209,0.3300912354209593,0.07980846903568711,0.40437436773894464,0.28918954854806805,0.11146834586795684,-0.008027319808821496,0.158261405702147,0.15074650573230844,-0.7029940379833448,-0.5728920419306848,-0.321164205448278,-0.3532718401223466,-0.30284671007875447,-0.5658505132535144,-0.2589512933454703,-0.2304560181111711,-0.47107048729204176,-0.5600202089219116,-0.44561111280252746,-0.522034138310958,0.07906222841320693,-0.2936425703414939,-0.09590865983630564,-0.4983481869917747,-0.7073587108086605,-0.2496428828633197,-1.293914642562033,-1.0358427674862316,-1.0859063435700365,-0.5011494362791308,-0.31833213901684065,-0.586471747701912,-0.5763701556920273,-1.0439463986659046,-0.6719212679749953,-1.0754889542285877,-0.8959760247323753,-0.8239492982940528,-0.5952217085570711,-0.352968882120875,-0.5171785121342415,-0.7174581387891529,-0.6563983277835828,-0.4185267560804813
5,2,tRNA-Und-NNN-3,282.01065780272563,1.9949264688397335,2.0712480461168914,2.432350007278358,1.8749665511477436,1.928981061178505,2.3339630794323143,2.0143463378449225,2.203510741936719,2.3145450679854997,-0.16827513184125295,-0.21479557035041721,-0.13142278205378483,-0.36072361353137156,-0.2915949314388908,-0.378047513400559,-0.4495017599934716,-0.64476475183151,-0.6783575598078855,-0.7070260930509206,-0.5518682868234775,-0.6323825554227691,-0.7232989476969481,-0.848885007140337,-0.8090680847182049,-1.005617231634614,-0.8784932052040244,-0.8747157358417531,0.19243342893379314,0.1388747800700605,0.011931812003081885,0.2943668496389085,0.015498896512376334,-0.02270273697265732,-0.25216565209929104,-0.2321832962275226,-0.2951955107936872,-0.7406777936619644,-0.8388276846911874,-0.17157367485373842,-0.14369791921466912,-0.250931117325785,-0.6305635310133393,-0.287985114893247,-0.9026078147037072,-0.21023968759241604,-0.7843269537877084,-0.5697392299954119,-0.67131319457997,-0.39004739541648636,-0.27729574335839613,-0.5109884476841637,-0.6870710062596546,-0.5178138358757828,-0.08515702613585668
6,3,tRNA-Thr-AGT-1,47.65281969396263,0.4313882847980156,1.1093519473260587,1.7597542511511501,0.7905176623456079,0.5906917837875059,0.30771992204997234,0.8052530145400305,1.2084433776028052,1.4266348410717922,0.8432153095352586,1.161176585081532,0.6606790209668969,1.6905057865077067,1.4283628078157073,1.3655259411320526,0.22773175792221054,0.5930359451924091,0.8260023141328902,-0.1754830450524654,-0.206983420903336,-0.39281412191764037,-1.2768965979440527,-0.4356071286626381,-0.7948784517266759,0.2996795268088732,1.436744719220966,1.3737644595136695,-1.1516966111591864,-0.5327109410400221,-1.0090556458208642,0.025494661972901934,-0.7785940300105649,-0.5077120239443226,-0.06772684295258306,-0.7577403800194171,-0.3848287700226492,-2.3208568919585044,-2.269303720830987,-0.8612536612049217,-1.1500147234074216,-1.111061993206141,-1.4235316867786714,-0.7082856843491243,-0.9684426012856108,-0.25686152253676564,-0.7792516036814926,-0.3266174290742608,-0.7492917859415564,-1.0052290976446192,-0.19553979037065833,-0.6244735273591927,0.741411384400686,0.8238228041644087,1.2958356217654114
7,3,tRNA-Thr-TGT-1,46.74536682436368,0.7075674388465639,1.2603704636212538,1.7763116022520453,0.8254734196760783,0.31741791325898894,0.821183078460779,-0.2602874669862602,0.6426643089259029,0.736178650776588,1.2139420615574992,1.6278361411504523,1.2203577684118445,1.8346518386179336,1.8076980488973993,1.4621635250961627,0.6117219811595987,0.9281681654808833,1.080386915554915,0.26009124870951816,0.05845022220810477,-0.19291477227480142,-1.5558966210443095,-1.1650433256316177,-1.7157635610948652,-0.6439124935130246,1.287378385889045,0.9113257912922671,-0.6165885614828392,-0.12813898253604242,-0.1616192693971084,-1.3287632998869494,-1.3181724428225536,-0.822150920117559,-0.4437612744954732,-0.8403996807195386,-0.10451705894306348,-1.4360642460955433,-1.405867529078282,-0.36643361766073895,-1.7533874041887392,-1.325190827314632,-1.23840476215619,-0.8678156352989517,-0.9978257352846185,-0.09575617672194771,-0.5292448308732434,0.18337115998503684,-0.6387958886878821,-0.6318346093178292,0.164180407354995,-0.30723807998774716,-0.0202432084086657,0.6709935659456001,0.5021481788914854
8,3,tRNA-Thr-AGT-5,45.37344463926598,0.40066903149829103,1.154878352134311,1.8114179405687016,0.864237522091821,0.5107962119747014,0.24971574545918435,0.7378813299575135,1.2393591864873492,1.4375053073813597,0.8087041689506814,1.1402429883035698,0.5702857683129101,1.763806344016592,1.4367018657131994,1.4152624465469477,0.1977363425017218,0.5601209453929955,0.831446560222334,-0.18067615227279124,-0.2276494039408974,-0.4450005046456656,-1.293487527300718,-0.585791519870981,-0.8634982109384799,0.24379887139025985,1.520533159762707,1.4399532659717382,-1.198024683035802,-0.5211530255040693,-0.9835651355295927,-0.1041648623657081,-0.842559356035718,-0.6701413457941213,-0.07826874243977198,-0.7602100906181329,-0.45286943940818497,-2.160413475607683,-2.139325533438491,-0.7832149067789465,-1.148219084088644,-1.0953279574056676,-1.3489391298836944,-0.7048622599134997,-0.944474639827302,-0.358016602103864,-0.7498914171838534,-0.27983833686043397,-0.7144882914964091,-0.9787412885996176,-0.17374834955465918,-0.5527623630868936,0.7723754107732483,0.8524749634395444,1.3794199066786401
9,4,tRNA-Val-AAC-5,82.21396010387545,2.003193870652037,1.8758673706906597,2.3147074722960252,1.1561373962898764,1.0843310457244772,1.097533928533377,1.9985687677685335,0.9628590204657228,1.465463102089801,-0.4585899775304839,-0.9059858029820164,-0.6826206988271161,-0.8887370703805608,-0.49500598223572306,-0.3481493302564473,-1.0603952664324283,-0.5087247227534123,-0.6708778714608382,-1.4775475929816675,-1.2497137869710824,-0.7837363961587227,-0.03939736326153667,0.08377066688885378,0.2553116544950782,0.11500777399473779,-0.72059617299752,-0.824219588744172,0.4509500083209611,0.2470826432004224,0.11570001623111423,1.7421952662843216,1.476287216353105,1.4633684494533814,-0.10895719851938586,-0.70888476622375,-0.7532296015180758,-1.4650650658187285,-1.5966174702938556,-0.7483032379646907,1.0177030525601898,0.8998716297151058,0.1397504648928839,-0.41276138269502916,-0.8758763281926506,0.07384960028333441,-1.0563548749690084,-0.8105248110347388,-0.9484201237849023,-0.48996275582692295,-0.32206896326801504,-0.030588834016509334,0.20841756245143442,-0.5228106440400517,-0.28320429749541537
