	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa-miR-4731-5p	0	2.48024309216867	0.838535420742415	0.644453563136881	2.22738345216087	3.05245260883125	2.08882189292785
hsa-miR-6505-5p	0	2.12592265043029	0.111804722765655	0.585866875578983	0	0.315770959534267	0.288113364541773
hsa-miR-516a-5p	0	2.12592265043029	0.559023613828276	2.57781425254752	3.44231988061225	2.21039671673987	9.86788273555572
hsa-miR-23a-5p	0	2.12592265043029	1.67707084148483	2.10912075208434	1.67053758912065	1.57885479767134	4.03358710358482
hsa-miR-758-3p	0	2.12592265043029	1.90068028701614	2.87074769033702	0.809957618967588	1.57885479767134	5.11401222061647
hsa-miR-1197	0	2.12592265043029	0.894437782125242	1.58184056406325	1.01244702370948	4.2102794604569	2.6650486220114
hsa-miR-1185-2-3p	0	1.9487624295611	0.559023613828276	0.146466718894746	0	0.157885479767134	0.936368434760762
hsa-miR-376a-5p	0	1.77160220869191	2.34789917807876	2.16770743964224	1.41742583319328	3.99976548743405	3.45736037450128
hsa-miR-4742-5p	0	1.77160220869191	0.223609445531311	0.937387000926373	1.51867053556423	0.736798905579957	2.80910530428229
hsa-miR-4657	0	1.77160220869191	0.0559023613828276	0	0	0	0
hsa-miR-431-3p	0	1.77160220869191	1.34165667318786	1.17173375115797	0.202489404741897	0.947312878602802	1.65665184611519
hsa-miR-488-5p	0	1.77160220869191	2.79511806914138	3.10509444056861	6.07468214225691	6.63119015021961	11.3804778994
hsa-miR-301a-3p	0	1.77160220869191	1.28575431180504	0.468693500463186	0.303734107112845	0.526284932557112	2.95316198655317
hsa-miR-4662b	0	1.41728176695352	0.223609445531311	2.75357431522122	0.911202321338536	0.315770959534267	0.864340093625319
hsa-miR-20b-3p	0	1.41728176695352	1.0062425048909	0.234346750231593	1.16431407726591	1.05256986511422	0.576226729083546
hsa-miR-1185-5p	0	1.41728176695352	1.45346139595352	0.35152012534739	0.911202321338536	1.99988274371703	1.58462350497975
hsa-miR-548ar-3p	0	1.41728176695352	0.223609445531311	0.292933437789491	0.658090565411165	0.42102794604569	0
hsa-miR-770-5p	0	1.41728176695352	0.223609445531311	0.703040250694779	0	0	0.648255070218989
hsa-miR-518e-5p|hsa-miR-519a-5p|hsa-miR-519b-5p|hsa-miR-519c-5p|hsa-miR-522-5p|hsa-miR-523-5p	0	1.41728176695352	0.111804722765655	0.820213625810576	0.809957618967588	1.47359781115991	2.23287857519874
hsa-miR-541-3p	0	1.41728176695352	0.782633059359587	3.63237462858969	0.35435645829832	2.94719562231983	4.60981383266837
hsa-miR-3149	0	1.41728176695352	0.447218891062621	0.937387000926373	0.607468214225691	0.526284932557112	0.576226729083546
hsa-mir-30c-2	0	1.41728176695352	0.521755372906391	1.86500955392643	0.835268794560325	0.613999087983298	0
hsa-miR-548ay-3p	0	1.41728176695352	0.223609445531311	1.28890712627376	0.911202321338536	0.631541919068535	0.432170046812659
hsa-miR-4798-5p	0	1.41728176695352	0.782633059359587	1.52325387650536	0.708712916596639	0.42102794604569	1.08042511703165
