	random_trimmed_F1_S1_R1_001.fastq	random_trimmed_F2_S2_R1_001.fastq	random_trimmed_F3_S3_R1_001.fastq	random_trimmed_F4_S4_R1_001.fastq	random_trimmed_M1_S5_R1_001.fastq	random_trimmed_M2_S6_R1_001.fastq	random_trimmed_M4_S7_R1_001.fastq
hsa_piR_011876|gb|DQ586065|Homo_sapiens:2:101176472:101176501:Minus	0	0	0	0	4	0	0
hsa_piR_000798|gb|DQ570996|Homo_sapiens:10:122104354:122104385:Minus	0	0	0	0	4	0	0
hsa_piR_006813|gb|DQ579298|Homo_sapiens:8:101977176:101977202:Plus	0	0	0	0	3	0	0
hsa_piR_008599|gb|DQ581677|Homo_sapiens:17:37373971:37373996:Plus	0	0	0	0	2	0	0
hsa_piR_006136|gb|DQ578418|Homo_sapiens:16:67089071:67089101:Minus	0	0	0	0	2	0	0
hsa_piR_013350|gb|DQ588101|Homo_sapiens:2:233862294:233862323:Plus	0	0	0	0	1	1	0
hsa_piR_022527|gb|DQ600819|Homo_sapiens:15:95119772:95119801:Minus	0	0	0	0	0.5	0	0
hsa_piR_015219|gb|DQ590792|Homo_sapiens:15:95119774:95119803:Minus	0	0	0	0	0.5	0	0
hsa_piR_023323|gb|DQ601896|Homo_sapiens:11:92359029:92359058:Plus	0	0	0	0	0	5	0
hsa_piR_010184|gb|DQ583716|Homo_sapiens:20:36760681:36760710:Plus	0	0	0	0	0	4	0
hsa_piR_006812|gb|DQ579297|Homo_sapiens:6:36975231:36975260:Plus	0	0	0	0	0	4	0
hsa_piR_017063|gb|DQ593577|Homo_sapiens:11:117605260:117605289:Minus	0	0	0	0	0	3	0
hsa_piR_004700|gb|DQ576450|Homo_sapiens:17:20846719:20846745:Minus	0	0	0	0	0	2	0
hsa_piR_023074|gb|DQ601548|Homo_sapiens:7:127012839:127012864:Minus	0	0	0	0	0	2	0
hsa_piR_005063|gb|DQ576994|Homo_sapiens:5:68520949:68520974:Minus	0	0	0	0	0	2	0
hsa_piR_019023|gb|DQ596110|Homo_sapiens:10:111975970:111975995:Plus	0	0	0	0	0	1	0
hsa_piR_008550|gb|DQ581604|Homo_sapiens:17:20865100:20865127:Minus	0	0	0	0	0	1	0
hsa_piR_001277|gb|DQ571749|Homo_sapiens:20:17571680:17571707:Minus	0	0	0	0	0	1	0
hsa_piR_001140|gb|DQ571481|Homo_sapiens:17:39354403:39354429:Plus	0	0	0	0	0	1	0
hsa_piR_006519|gb|DQ578914|Homo_sapiens:1:115177908:115177933:Minus	0	0	0	0	0	1	0
hsa_piR_002527|gb|DQ573412|Homo_sapiens:7:29654205:29654233:Minus	0	0	0	0	0	1	0
hsa_piR_022367|gb|DQ600607|Homo_sapiens:8:127649589:127649617:Plus	0	0	0	0	0	1	0
hsa_piR_011255|gb|DQ585195|Homo_sapiens:1:27606614:27606643:Minus	0	0	0	0	0	0	12
hsa_piR_019226|gb|DQ596392|Homo_sapiens:1:116742790:116742819:Plus	0	0	0	0	0	0	11
hsa_piR_013203|gb|DQ587898|Homo_sapiens:3:49667305:49667335:Plus	0	0	0	0	0	0	11
hsa_piR_016664|gb|DQ592938|Homo_sapiens:17:34262748:34262774:Minus	0	0	0	0	0	0	9
hsa_piR_003560|gb|DQ574835|Homo_sapiens:4:120550550:120550581:Minus	0	0	0	0	0	0	9
hsa_piR_008235|gb|DQ581186|Homo_sapiens:11:67132613:67132638:Plus	0	0	0	0	0	0	8
hsa_piR_013784|gb|DQ588831|Homo_sapiens:15:97320479:97320508:Plus	0	0	0	0	0	0	8
hsa_piR_022043|gb|DQ600204|Homo_sapiens:1:202647508:202647534:Minus	0	0	0	0	0	0	7
hsa_piR_022184|gb|DQ600380|Homo_sapiens:12:103183236:103183264:Plus	0	0	0	0	0	0	7
hsa_piR_005353|gb|DQ577363|Homo_sapiens:5:175721299:175721326:Minus	0	0	0	0	0	0	7
hsa_piR_002753|gb|DQ573706|Homo_sapiens:17:20845203:20845232:Minus	0	0	0	0	0	0	7
hsa_piR_002769|gb|DQ573726|Homo_sapiens:20:10037912:10037939:Plus	0	0	0	0	0	0	7
hsa_piR_015392|gb|DQ591027|Homo_sapiens:15:100111207:100111236:Plus	0	0	0	0	0	0	7
hsa_piR_003081|gb|DQ574166|Homo_sapiens:4:10982811:10982842:Plus	0	0	0	0	0	0	6
hsa_piR_021100|gb|DQ599007|Homo_sapiens:10:52107642:52107668:Minus	0	0	0	0	0	0	6
hsa_piR_003139|gb|DQ574254|Homo_sapiens:3:12855861:12855890:Minus	0	0	0	0	0	0	5
hsa_piR_008483|gb|DQ581526|Homo_sapiens:1:39241637:39241663:Plus	0	0	0	0	0	0	5
hsa_piR_010819|gb|DQ584594|Homo_sapiens:10:126298792:126298821:Minus	0	0	0	0	0	0	5
hsa_piR_012146|gb|DQ586410|Homo_sapiens:12:56503497:56503525:Minus	0	0	0	0	0	0	5
hsa_piR_001447|gb|DQ571993|Homo_sapiens:16:2509850:2509876:Plus	0	0	0	0	0	0	4
hsa_piR_005627|gb|DQ577731|Homo_sapiens:17:59023023:59023051:Plus	0	0	0	0	0	0	4
hsa_piR_004424|gb|DQ576093|Homo_sapiens:10:6315341:6315368:Plus	0	0	0	0	0	0	4
hsa_piR_018716|gb|DQ595728|Homo_sapiens:15:100132292:100132319:Plus	0	0	0	0	0	0	4
hsa_piR_003680|gb|DQ574999|Homo_sapiens:15:29454520:29454545:Plus	0	0	0	0	0	0	3
hsa_piR_001130|gb|DQ571461|Homo_sapiens:22:17216146:17216174:Minus	0	0	0	0	0	0	3
hsa_piR_014587|gb|DQ589977|Homo_sapiens:17:77093925:77093953:Minus	0	0	0	0	0	0	3
hsa_piR_004415|gb|DQ576080|Homo_sapiens:21:14142575:14142600:Minus	0	0	0	0	0	0	3
hsa_piR_006594|gb|DQ579020|Homo_sapiens:7:148662215:148662240:Plus	0	0	0	0	0	0	2
hsa_piR_020681|gb|DQ598465|Homo_sapiens:7:102461553:102461583:Plus	0	0	0	0	0	0	2
hsa_piR_001468|gb|DQ572018|Homo_sapiens:17:45818161:45818189:Plus	0	0	0	0	0	0	2
hsa_piR_001650|gb|DQ572236|Homo_sapiens:1:1033073:1033101:Plus	0	0	0	0	0	0	2
hsa_piR_014471|gb|DQ589813|Homo_sapiens:4:46421024:46421049:Minus	0	0	0	0	0	0	2
hsa_piR_022413|gb|DQ600662|Homo_sapiens:16:56636420:56636447:Plus	0	0	0	0	0	0	1
hsa_piR_006042|gb|DQ578289|Homo_sapiens:15:100110205:100110235:Plus	0	0	0	0	0	0	1
hsa_piR_001649|gb|DQ572235|Homo_sapiens:20:44154969:44154997:Plus	0	0	0	0	0	0	1
