	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76
trimmed_19101-0013_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570331	506978	579139	951591	2218499	997261	987741	261399	212977	197303	200679	203626	230444	720207	834379	385856	240809	234881	177209	216269	87866	74352	48110	46892	36180	33976	45665	139479	29824	17319	12508	11463	11605	10235	8664	6551	7036	5166	5231	5927	8609	9956	25738	110684	94259	67559	25060	46546	32554	116448	137854	92008	11594	42981	43587	42803	16381	33298	131659
trimmed_19101-0014_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694905	595275	690109	1168362	2859854	1361086	1264745	301608	244585	231498	236779	239488	262696	836566	949790	442542	284795	273352	204725	246050	98498	83461	55396	53669	41291	40158	53642	164359	34648	20439	14457	13088	13666	11785	9981	7516	7849	5897	5714	6817	9444	11600	30861	128788	112634	75382	28826	53626	39712	146096	178521	121399	13773	54983	49352	48718	18022	40446	215766
trimmed_19101-0015_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310065	266979	368650	646978	1660009	766587	689833	133239	103955	101151	106428	119982	144591	548971	691925	282265	173282	165046	121267	162650	44350	40337	25867	28012	18846	19602	31113	107060	19201	10353	7172	7183	7654	6488	5316	3887	4448	3090	3180	3782	6058	7577	21352	92985	84808	57499	20779	40063	30144	116232	132929	97512	9917	42538	38556	37835	13375	27925	155238
trimmed_19101-0016_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475491	414384	559773	1325516	2900284	1207007	1154157	218087	165870	148646	146993	159634	180387	561381	910894	381056	236500	198081	108024	119289	55601	49737	32364	32526	25736	30260	62904	199021	27644	11792	7980	8000	8720	7904	6617	4783	5027	3921	3974	4802	7381	10540	25621	109631	105655	72818	23543	49327	37173	131860	149046	105640	13242	53676	44085	46696	21587	38667	237484
trimmed_19101-0017_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461750	386429	490773	1251666	2855075	1144114	1166852	196097	150771	145042	132385	147532	163932	522384	816994	348541	213586	194996	104440	109677	45108	42083	27744	27581	21227	23501	45458	142784	20839	9858	6747	6937	7752	6909	6741	4763	5143	4047	4054	5332	8711	12786	31843	111756	101423	78251	29069	55702	41284	148016	169544	116127	17035	58296	52076	57199	27034	44301	232856
trimmed_19101-0018_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492677	432718	578020	1263432	2711337	1150010	1038432	215177	168344	165415	152994	171646	201895	590493	910917	413010	244845	217062	118600	130864	59458	52603	34392	34421	27124	32942	67300	179713	27480	12828	8773	8869	10169	8947	7679	5308	5846	4649	4742	5748	9769	12758	29179	118407	110873	83034	29494	59583	43131	150917	158928	116096	17383	65363	59802	59118	24520	45332	301533
trimmed_19101-0019_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	736543	689566	463780	830119	1918874	1017917	443593	185342	151112	158498	247858	168714	110668	129918	129245	164155	220116	81064	98442	95405	43529	41950	25941	23676	31937	44932	68104	204856	23158	11942	9163	9590	10680	11705	12471	6339	6205	5305	5762	5801	9684	8930	16601	100483	100926	53915	17860	45032	36031	136571	111016	122802	10148	37283	32267	22826	6026	31706	262595
trimmed_19101-0020_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	882943	797948	590927	1094544	1986428	1442624	495647	195430	155814	160173	292181	176115	116525	137325	136093	160279	175450	80848	95340	88077	46822	45351	28518	28628	36582	69550	99559	203324	25340	12804	9929	9913	11472	12461	13224	6422	6147	5012	5597	5262	6918	7811	15166	86942	87766	52887	15531	46378	35210	133237	96294	112735	10126	36888	29074	21402	6065	31469	186653
trimmed_19101-0021_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	583278	558736	358091	633026	1623863	765966	336001	148280	119252	134481	272657	157712	92392	99371	97534	122722	148968	62422	78499	73107	34575	31973	20443	18388	23237	31180	47644	156855	17788	9234	6910	7477	8912	10133	9587	5113	4703	4283	4676	4818	7823	7178	14250	91321	77616	39731	14277	37376	27930	113161	89154	100904	7990	30485	25794	18342	4398	22634	170212
trimmed_19101-0022_SmallRNA.fastq.fastq	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	630738	552250	415073	957650	2827941	1208784	523883	146019	99005	83082	98936	125516	182273	610696	289896	218976	177456	59463	95608	91460	33384	28877	22775	27204	23279	20469	37146	195986	14923	6947	5304	6939	10676	9577	10592	5006	5476	4054	4383	4750	7701	7370	20553	136825	105263	55170	18857	53529	36954	189294	153399	170459	9460	41694	37752	26948	6692	29045	172309
