	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa_piR_000796|gb|DQ570994|Homo_sapiens:9:139028023:139028048:Minus	871	1812	1506	1665	1805	1454	505	614	530	1278	1083	1215	294	375	273	388	513	621	1062	986	648	919	1287	1368	340	170	189	539	930	1019	584	655	662	563	2023	782	1100	921	1667	1448	2177	2307	528	571	947	1217	831	404	419	718	304	837	340	377
hsa_piR_020814|gb|DQ598650|Homo_sapiens:22:38039828:38039859:Minus	727.5	1321.5	872	1155	1117	1130	1208	1471	1238	4364.5	3701	3761.5	3803.5	4070	3284.5	2336.5	2504	3119	590.5	661	477.5	931	1435	1302	971.5	516	559	1470.5	2640.5	2701	1506	1573	1554	1516.5	5667.5	1702.5	1189.5	977	1281	1463.5	2735.5	2699.5	1793	1259	1695.5	3345.5	4072.5	1627	3735	5166.5	2842.5	3480.5	2581	2732.5
hsa_piR_017033|gb|DQ593538|Homo_sapiens:20:17891355:17891384:Minus	648	1023	710	2700	3352	3240	6692	6108	4500	6223	6095	7319	5388	7667	4949	4184	4504	4073	913	848	756	2967	4052	3147	3469	1748	1789	3217	4759	5286	4195	5706	4539	5159	18591	5095	1236	1481	1547	4632	4438	5760	5204	6797	8675	11232	11195	5709	6573	8811	5713	5502	4926	4025
hsa_piR_020009|gb|DQ597484|Homo_sapiens:7:145325417:145325443:Plus	596	1076	528	566	624	542	673	768	764	671	516	600	1459	2159	1108	1504	1589	1633	410	522	262	284	459	351	844	561	472	1218	1648	1765	1806	2208	1451	1281	4281	1472	580	394	566	403	849	1004	1258	385	541	652	779	349	984	1724	493	1236	635	461
hsa_piR_017178|gb|DQ593744|Homo_sapiens:18:45271685:45271715:Minus	518	998	588.5	1110.5	1276	1209	2101.5	2531	2220.5	2951.5	2280	2766	953.5	1116.5	815	631	625	704.5	493	639	433	833.5	1287.5	1019	1013	660	475	1056.5	1884	1965	784.5	1013	882	441	1699.5	687	731.5	561	773	1095.5	1579	1599	2066.5	964.5	1533.5	3480.5	3871	1776.5	852	1282	547.5	714	459	450
hsa_piR_020815|gb|DQ598651|Homo_sapiens:15:22778235:22778264:Plus	509	950	574	1353	1877	1100	426	413	357	262	236	305	337	346	219	277	246	358	376	389	362	790	1121	687	221	142	98	115	228	245	222	257	229	298	1240	323	472	425	424	631	1412	1896	488	690	645	316	259	75	216	351	171	316	247	192
hsa_piR_001152|gb|DQ571500|Homo_sapiens:2:206734890:206734919:Plus	421	698	380	364	304	298	347	438	447	575	489	580	998	1279	1044	1391	1863	1540	353	444	250	343	466	379	682	372	406	905	1165	1428	4001	4102	2563	1505	4745	2631	532	329	595	479	585	599	887	358	509	469	527	412	1377	2187	791	2232	638	586
hsa_piR_000805|gb|DQ571003|Homo_sapiens:1:212438966:212438997:Plus	403	317	286	146	132	190	97	137	180.5	68	54	80	54	72	32	56	52	73	740	1629	453	165	275	167	1217	599	444	166	385	291	82	90	87	83	195	99	1834	1048	2095	109	72	75	670	135	146	67	75	15	54	64	32	56	16	21
hsa_piR_020450|gb|DQ598104|Homo_sapiens:9:133350930:133350959:Plus	394	597	429	1565	1384	1243	3040	4538	2893	7543	6355	6082	2428	2741	1776	1718	1552	1770	368	303	288	559	828	715	595	350	289	769	1484	1487	897	1071	2355	1569	4993	1444	531	607	632	1316	2573	2685	1014	1929	2413	5824	7934	3355	3388	4331	2265	1807	1169	981
hsa_piR_012753|gb|DQ587269|Homo_sapiens:2:232029453:232029478:Minus	333	608	358	692	800	906	2193	2058	1771	1136	1026	1390	831	1007	638	531	556	433	314	316	300	654	984	609	457	342	320	444	780	706	468	613	464	374	1375	418	340	392	417	952	1102	1291	1090	1173	1812	1517	2097	1441	589	890	411	465	285	350
hsa_piR_019628|gb|DQ596932|Homo_sapiens:17:18097952:18097978:Minus	309	584	365	258	245	247	67	79	100	67	45	60	17	18	17	19	7	22	274	324	187	133	248	173	66	27	43	75	75	114	33	35	25	21	38	21	203	106	229	122	214	229	72	51	52	30	53	16	21	25	7	17	8	9
hsa_piR_020619|gb|DQ598378|Homo_sapiens:1:28778863:28778894:Minus	302	381	287	893	704	1220	2895	2730	2151	1076	892	990	480	511	243	300	318	341	620	532	529	736	847	739	1283	903	625	468	1332	1006	381	397	531	272	1038	313	663	961	992	1042	720	980	1012	1054	1644	1336	1587	600	363	630	244	253	157	187
hsa_piR_001170|gb|DQ571526|Homo_sapiens:11:10488300:10488331:Minus	298	426	180	266	242.5	296.5	296	472.5	452	434	363	430.5	948	1133.5	750	1273	972.5	1353	146.5	276.5	121	166	263	167.5	853	616.5	367	1466.5	1874	1674	2527.5	2906.5	1765.5	1189	3666	1628.5	361.5	182	339	246	423.5	466	1212	256	354.5	454.5	546	257	1026.5	1333	521	1585.5	546	514
hsa_piR_004153|gb|DQ575660|Homo_sapiens:3:156861576:156861607:Plus	214	341.5	226.5	450.5	513.5	416	335	381.5	309	606	483.5	556	519	648	359.5	653	728	846.5	291	185	226.5	351.5	560	415.5	145	83	177.5	193	321.5	320	522	494	754.5	1034	2760.5	697	132.5	188.5	226.5	408	534	680	147.5	200.5	284.5	650.5	696.5	373.5	478	774.5	451	582	596.5	1277
hsa_piR_001101|gb|DQ571419|Homo_sapiens:1:45016687:45016714:Plus	172	259	227	415	318	436	381	558	367	531	470	466	480	525	368	700	427	742	223	265	120	292	450	346	349	190	299	367	632	786	956	736	1157	643	2673	1236	263	176	309	366	586	548	516	346	588	386	475	221	919	1094	478	1319	420	419
hsa_piR_020008|gb|DQ597482|Homo_sapiens:11:10487020:10487050:Minus	172	141	93	38	32	72	56	67	46	41	55	52	266	340	60	177	146	194	209	217	151	64	93	66	47	35	20	42	87	45	58	84	186	165	255	127	242	181	164	40	41	23	71	45	66	76	80	35	76	181	24	34	43	18
hsa_piR_020439|gb|DQ598084|Homo_sapiens:19:12678303:12678331:Minus	148	263	126	417	513	281	324	362	350	256	223	277	102	101	67	81	85	94	116	181	98	245	407	263	265	156	125	215	387	377	160	155	141	61	234	124	189	118	160	268	592	620	473	187	276	217	318	146	120	182	57	124	72	77
hsa_piR_000586|gb|DQ570728|Homo_sapiens:5:137924634:137924661:Minus	142	231	157	331	415	630	463	519	377	735	666	736	1784	2295	1700	2291	2654	2389	218	132	163	333	431	404	195	86	173	336	476	522	1225	1219	1878	2509	8614	2565	185	227	269	520	464	607	259	538	742	946	899	780	2214	2830	1920	2884	1934	2008
