	trimmed_19101-0001_SmallRNA.fastq.fastq	trimmed_19101-0002_SmallRNA.fastq.fastq	trimmed_19101-0003_SmallRNA.fastq.fastq	trimmed_19101-0004_SmallRNA.fastq.fastq	trimmed_19101-0005_SmallRNA.fastq.fastq	trimmed_19101-0006_SmallRNA.fastq.fastq	trimmed_19101-0007_SmallRNA.fastq.fastq	trimmed_19101-0008_SmallRNA.fastq.fastq	trimmed_19101-0009_SmallRNA.fastq.fastq	trimmed_19101-0010_SmallRNA.fastq.fastq	trimmed_19101-0011_SmallRNA.fastq.fastq	trimmed_19101-0012_SmallRNA.fastq.fastq	trimmed_19101-0013_SmallRNA.fastq.fastq	trimmed_19101-0014_SmallRNA.fastq.fastq	trimmed_19101-0015_SmallRNA.fastq.fastq	trimmed_19101-0016_SmallRNA.fastq.fastq	trimmed_19101-0017_SmallRNA.fastq.fastq	trimmed_19101-0018_SmallRNA.fastq.fastq	trimmed_19101-0019_SmallRNA.fastq.fastq	trimmed_19101-0020_SmallRNA.fastq.fastq	trimmed_19101-0021_SmallRNA.fastq.fastq	trimmed_19101-0022_SmallRNA.fastq.fastq	trimmed_19101-0023_SmallRNA.fastq.fastq	trimmed_19101-0024_SmallRNA.fastq.fastq	trimmed_19101-0025_SmallRNA.fastq.fastq	trimmed_19101-0026_SmallRNA.fastq.fastq	trimmed_19101-0027_SmallRNA.fastq.fastq	trimmed_19101-0028_SmallRNA.fastq.fastq	trimmed_19101-0029_SmallRNA.fastq.fastq	trimmed_19101-0030_SmallRNA.fastq.fastq	trimmed_19101-0031_SmallRNA.fastq.fastq	trimmed_19101-0032_SmallRNA.fastq.fastq	trimmed_19101-0033_SmallRNA.fastq.fastq	trimmed_19101-0034_SmallRNA.fastq.fastq	trimmed_19101-0035_SmallRNA.fastq.fastq	trimmed_19101-0036_SmallRNA.fastq.fastq	trimmed_19101-0037_SmallRNA.fastq.fastq	trimmed_19101-0038_SmallRNA.fastq.fastq	trimmed_19101-0039_SmallRNA.fastq.fastq	trimmed_19101-0040_SmallRNA.fastq.fastq	trimmed_19101-0041_SmallRNA.fastq.fastq	trimmed_19101-0042_SmallRNA.fastq.fastq	trimmed_19101-0043_SmallRNA.fastq.fastq	trimmed_19101-0044_SmallRNA.fastq.fastq	trimmed_19101-0045_SmallRNA.fastq.fastq	trimmed_19101-0046_SmallRNA.fastq.fastq	trimmed_19101-0047_SmallRNA.fastq.fastq	trimmed_19101-0048_SmallRNA.fastq.fastq	trimmed_19101-0049_SmallRNA.fastq.fastq	trimmed_19101-0050_SmallRNA.fastq.fastq	trimmed_19101-0051_SmallRNA.fastq.fastq	trimmed_19101-0052_SmallRNA.fastq.fastq	trimmed_19101-0053_SmallRNA.fastq.fastq	trimmed_19101-0054_SmallRNA.fastq.fastq
hsa-miR-548s	0.353094190876717	0.416761610170984	0	0.509255619024649	0.186392039121452	0.448168907331936	0.704779461921017	0.630854726142809	0.450090985892798	0.0909973500661687	0.433757855761416	0.446834911926605	0	0.0854514249238735	0.14546360122492	0	0.190353494052595	0.0941266212016261	0	0.442444072856971	0.20369299473311	0.350527157792604	0.257526778063594	0.215607317841732	1.77639271779648	0.767944560546285	1.80249600634479	0.318487261942715	0.644490485617136	0.562444774953659	0.437961207367077	0.483017538076997	0.104325284568079	0.290655005587842	0.184065611782555	0.467176069223534	0.464203202166529	0.155767413083341	0.376260755727253	0.326777629457043	0.624693217065432	1.20816918519009	1.28362325034128	0.471346715337928	0.834742378468188	0.379712651691407	0.140395389920818	0.234082533990247	0.117327830501646	0.318300833757204	0	0	0.137137415530209	0
hsa-miR-6875-3p	0.353094190876717	0.104190402542746	0	0	0	0	0	0	0	0.0909973500661687	0	0	0	0	0.14546360122492	0	0	0	0	0	0	0	0	0	0	0	0.225312000793098	0	0	0	0.109490301841769	0	0	0	0	0	0	0	0.125420251909084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5010-5p	0.353094190876717	0.312571207628238	0.160642879954146	0.10185112380493	0	0.0896337814663871	0.100682780274431	0.090122103734687	0.225045492946399	0.72797880052935	0.650636783642124	0.893669823853209	0.31784893403003	0.341805699695494	0.43639080367476	0.928195966672938	0.666237229184084	0.847139590814635	0.332661246727861	0.29496271523798	0	0	0	0	0.14803272648304	0	0	0.159243630971357	0.552420416243259	0.468703979128049	0.875922414734154	0.483017538076997	1.25190341481694	0.581310011175685	1.10439367069533	1.12122256613648	0	0.934604478500047	0.501681007636337	0	0	0.213206326798251	0.0916873750243774	0	0.250422713540456	0.835367833721096	0.701976949604092	0.468165067980494	0.938622644013166	1.19362812658951	0.972626717861414	1.17324221673558	1.09709932424167	0.404413063189002
hsa-miR-616-3p	0.353094190876717	0.208380805085492	0	0.509255619024649	0.372784078242905	0.179267562932774	0.100682780274431	0.360488414938748	0.1125227464732	0.545984100397012	0.650636783642124	0.446834911926605	0.31784893403003	0.25635427477162	0.14546360122492	0.835376370005644	0.666237229184084	0.376506484806504	0	0.14748135761899	0.20369299473311	0.116842385930868	0.171684518709063	0	1.03622908538128	0.51196304036419	0.450624001586196	0.159243630971357	0.368280277495506	0.28122238747683	0.437961207367077	0.386414030461598	0.417301138272315	0.0968850018626142	0.39880882552887	0.186870427689414	0.154734400722176	0.155767413083341	0.250840503818169	0.326777629457043	0.078086652133179	0.0710687755994172	0.458436875121887	0.353510036503446	0.250422713540456	0.0759425303382814	0.491383864722864	0.35112380098537	0.351983491504937	0.954902501271612	0	0.293310554183894	0	0.269608708792668
hsa-miR-6782-3p	0.353094190876717	0.312571207628238	0.481928639862438	0.20370224760986	0	0	0.100682780274431	0.360488414938748	0.1125227464732	0.0909973500661687	0.216878927880708	0.178733964770642	0.423798578706707	0.0854514249238735	0	0.278458790001881	0.380706988105191	0	0	0.14748135761899	0.611078984199331	0	0.171684518709063	0.107803658920866	0.14803272648304	0.255981520182095	0	0.159243630971357	0.552420416243259	0.0937407958256099	0.328470905525308	0.386414030461598	0	0.290655005587842	0.245420815710074	0.28030564153412	0.464203202166529	0.155767413083341	0.125420251909084	0.217851752971362	0.078086652133179	0.284275102397669	0.275062125073132	0.117836678834482	0.0834742378468188	0	0.0701976949604092	0.468165067980494	0	0	0.162104452976902	0.391080738911859	0	0.404413063189002
hsa-miR-6851-5p	0.353094190876717	0.52095201271373	0.642571519816584	0	0.186392039121452	0.0896337814663871	0.201365560548862	0.270366311204061	0	0.0909973500661687	0.433757855761416	0	0.211899289353353	0.0854514249238735	0	0.0928195966672938	0.190353494052595	0.0941266212016261	0.498991870091791	0.14748135761899	0	0.116842385930868	0.0858422593545314	0.323410976762598	0.14803272648304	0	0	0.159243630971357	0.184140138747753	0	0.218980603683538	0.0966035076153994	0.312975853704236	0.0968850018626142	0.0613552039275184	0.373740855378827	0	0.155767413083341	0	0.326777629457043	0	0	0.36674950009751	0.235673357668964	0	0.0759425303382814	0	0	0.117327830501646	0.238725625317903	0	0	0	0.269608708792668
hsa-miR-7111-3p	0.353094190876717	0.312571207628238	1.44578591958731	0.20370224760986	0.186392039121452	0.0896337814663871	0.201365560548862	0.270366311204061	0.337568239419599	1.27396290092636	1.30127356728425	1.07240378862385	0.31784893403003	0.598159974467114	0.872781607349519	0.278458790001881	0.666237229184084	0.658886348411383	0.16633062336393	1.03236950333293	0.611078984199331	0	0.0858422593545314	0.107803658920866	1.18426181186432	0.767944560546285	0.450624001586196	2.86638535748443	2.48589187309467	2.15603830398903	0.437961207367077	0.869431568538595	0.730276991976551	0.581310011175685	0.39880882552887	0.186870427689414	1.85681280866612	1.40190671775007	2.13214428245443	0.217851752971362	0.234259956399537	0.213206326798251	0.825186375219396	0.824856751841375	0.333896951387275	1.2150804854125	0.772174644564501	0.936330135960988	0.351983491504937	0.716176875953709	0.486313358930707	0.977701847279647	0.822824493181253	0.67402177198167
hsa-miR-552-5p	0.353094190876717	0.312571207628238	0.160642879954146	0.10185112380493	0	0	0.604096681646586	0.540732622408122	0.900181971785596	1.81994700132337	3.03630499032991	3.21721136587155	0.105949644676677	0.170902849847747	0	0.185639193334588	0.0951767470262977	0.0941266212016261	0	0.14748135761899	0.20369299473311	0	0	0	2.2204908972456	2.55981520182095	3.83030401348267	2.07016720262765	1.74933131810365	1.21863034573293	0.766432112892385	0.772828060923195	0.208650569136157	0.193770003725228	0.0920328058912776	0.186870427689414	0	0	0.250840503818169	0	0.078086652133179	0	2.8423086257557	0.471346715337928	0.918216616315006	1.2150804854125	1.82514006897064	1.05337140295611	0	0.159150416878602	0.162104452976902	0.195540369455929	0	0
hsa-miR-589-3p	0.353094190876717	1.14609442797021	0.481928639862438	0	0.465980097803631	0.62743647026471	0.100682780274431	0.360488414938748	0.562613732365998	0	0.216878927880708	0.804302841467888	0	0.170902849847747	0.29092720244984	0.0928195966672938	0	0	0.831653116819652	0.589925430475961	0.20369299473311	0	0	0.323410976762598	1.18426181186432	0.255981520182095	0.675936002379295	0.955461785828145	0.644490485617136	0.28122238747683	0.328470905525308	0.386414030461598	0.104325284568079	0.0968850018626142	0.122710407855037	0.28030564153412	0.618937602888706	0.778837065416706	0.376260755727253	0.217851752971362	1.09321312986451	0.213206326798251	1.00856112526815	0.117836678834482	0.250422713540456	0	0.280790779841637	0	0.234655661003291	0.477451250635806	0.162104452976902	0.195540369455929	0.137137415530209	0.134804354396334
hsa-miR-3121-3p	0.353094190876717	0.208380805085492	0.321285759908292	0.509255619024649	0.279588058682178	0.62743647026471	0.604096681646586	0.450610518673435	0.450090985892798	0.363989400264675	0.108439463940354	0.0893669823853209	0.741647512736737	0.0854514249238735	0	0.278458790001881	0	0	0.498991870091791	0.29496271523798	0	0.116842385930868	0.429211296772657	0.970232930287794	0.14803272648304	0.255981520182095	0.225312000793098	0.63697452388543	0	0	0	0.193207015230799	0.208650569136157	0	0.153388009818796	0.0934352138447068	0.464203202166529	0.155767413083341	0.250840503818169	0.326777629457043	0.390433260665895	0.213206326798251	0.0916873750243774	0.707020073006893	0.417371189234094	0.379712651691407	0.350988474802046	0.117041266995123	0.234655661003291	0.079575208439301	0.162104452976902	0.488850923639824	0.274274831060418	0.404413063189002
